id,peer_username,peer_participants_count,date,type,tag,views,text,,
46365,bbcpersian,981254,1398/05/28 17:30:57,photo,1,161270,"غلامحسین محسنی اژه‌ای، معاون اول قوه قضائیه با انتقاد از 'شکاف طبقاتی' و 'رانت‌خواری' در ایران گفت 'چرا کاری کردند که ارز کشور در اختیار افرادی خاص باشد؟ چرا باید معادن را افرادی خاص داشته باشند؟ چرا باید فقط افرادی خاص بتوانند از امکانات عمومی و بیت المال کشور استفاده کنند؟'  ۲۷ تیرماه امسال، محمد یزدی، عضو فقهای شورای نگهبان در گفتگویی در مورد روابط وزرا و نمایندگان مجلس گفت: 'میان برخی از نمایندگان با وزرا ساخت و پاخت‌هایی وجود دارد به نحوی که به عنوان نمونه فلان وزیر را صدا می‌زنند و از آنان می‌خواهند که 'فلان معدن را به من یا به فرزند و داماد من بده' تا برود از آن استفاده کند. @bbcpersian",,
57451,khabarfouri,3467372,1398/08/18 12:32:56,webpage,1,165311,"‍ 🔺️چگونه ۵ میلیون یورو در بیمه البرز گم شد/ وقتی به جای صرافی دلامیر گلد ترکیه، با یک خلافکار قرارداد بستند!  🔹️گزارش رویداد۲۴ از اتفاق عجیب در صنعت بیمه؛   🔹️یکی از عجایب ایران گم شدن اموال بیت المال یا سرنوشت مبهم آنهاست؛ معمولا پس از آنکه نهادهای ناظر پس از چند سال متوجه می‌شوند، پولی مفقود شده یا سرنوشت آن نامعلوم است، کار به نامه نگاری می‌کشد؛ نامه‌هایی که معمولا چند سال در سیستم اداری ایران می‌چرخد و عاقبت با تغییر مدیران همچنان مشخص نمی‌شود تکلیف پول‌های ناپدید شده چه شده است.  🔹️معروف‌ترین هزینه‌های نامشخص در ایران، ماجرای دکل‌های گمشده بود. قرار بود پولی به شرکتی داده شود و در قبال آن دکل فورچانا به ایران وارد شود؛ ماجرا‌های خرید این دکل همچنان ادامه دارد و هزینه آن نیز از کیسه ملت رفت.  🔻  اگر به دنبال نمونه مشابه چنین خاصه‌خرجی‌های باشیم، شاید بهترین مثال آن را باید در شرکت بیمه البرز پیدا کرد؛ جایی که پس از چهار سال، سرنوشت ۵ میلیون یورو از اموال بیت المال همچنان نامشخص است.  🔻 به گزارش رویداد۲۴ شرکت بیمه البرز در دوره مدیریت سید رسول تاجدار در قرارداد اتكایی، مبلغ ۵ میلیون یورو را به عنوان سهم خسارت باید از شرکتی خارجی دریافت می‌کرد.   🔻 پس از مدتی مدیران شرکت تصمیم می‌گیرند پول را به داخل کشور بیاورند؛ این در حالی است که معمولا این پول‌‌ها مانند تمام شرکت‌های بیمه‌ای معتبر در همان بانک به عنوان ذخیره ارزی باقی می‌ماند.  🔻 آنگونه که خبرنگار رویداد۲۴ کسب اطلاع کرده، مدیران شرکت بیمه البرز برای بازگرداندن پول، از فردی که قائم مقام و معاون مالی وقت [و عضو هیات مدیره] شرکت معرفی می‌کند، استفاده می‌کنند و برای بازگرداندن مبلغ ۵ میلیون یورو از نام شرکتی به نام صرافی دلامیر گلد ترکیه استفاده می‌شود.   🔻متن کامل این مطلب را در #لینک_زیر_بخوانید👇 https://www.rouydad24.ir/fa/news/193804/   @khabarfouri",,
45009,sedaiemardom,404297,1398/05/17 17:00:35,webpage,1,280474,"​​🔴 سه نکته در خصوص دفاع وزیر راه از برج لوکسی که قرار بود «حسینیه» باشد  «رضا عبداللهی»، رکورددار نمایندگی مجلس که از دوره سوم تا نهم نماینده ماه نشان زنجان است که با چند نماینده‌ی دیگر، یک ملک ۳ هزار متری را در سعادت آباد به نام «حسینیه قائم» گرفتند و اکنون به جای حسینیه، یک برج لوکس در حال احداث است.   وقتی سر و صدای این موضوع به رسانه‌ها کشیده شد، وزیر راه و شهرسازی که علی‌القاعده باید حامی بیت‌المال باشد، مصاحبه‌ای جالب در دفاع از متخلفین کرد و اطلاعات مخدوش به جامعه ارائه نمود.  وزیر مسکن گفته است: «وزارت مسکن و شهرسازی در سال ۷۰ زمینی را به یک حسینیه می‌دهد» که این خود اطلاعات اشتباه است و نشان‌ دهنده‌ی بی‌اطلاعی وزیر از حوزه‌ی کاری خود است. این زمین در سال ۸۶ و زمانی که آقایان نماینده مجلس هفتم بودند، به آنان واگذار شد و ارتباطی با واگذاری آن در سال ۱۳۷۰ ندارد.  دوم این‌که در توجیه فساد صورت گرفته، وزیر گفته است که نمایندگان محترم مجلس آن ملک را فروخته‌اند و در بین انقلاب و آذربایجان یک حسینه با پولش ساخته‌اند.  این خلاف مصرح قرارداد رسمی وزارت راه با نمایندگان مجلس است که در زیر ضمیمه شده است. در ماده دو قرارداد به روشنی نوشته این زمین منحصرا برای «حسینیه» است و حق هیچ‌گونه واگذاری یا ساخت و ساز دیگر در آن وجود ندارد.   سوم این‌که وزیر گفته است «فردی که این زمین را می‌سازد، خلاف قانونی نکرده است». آیا وزیر نمی‌داند شاکی این برج اداره کل راه و شهرسازی استان تهران است، آن هم به خاطر تخلفاتی که در صدور پروانه‌ها و مجوزهای تغییر کابری صورت گرفته است؟   طبق ماده ۷ قرارداد، وزارت راه اگر متوجه شود که آقایان از تعهدات تخلف کرده و زمین را حسینیه نکرده‌اند، می‌تواند آن را پس بگیرد. این‌که وزیر نه تنها عزمی برای بازگرداندن بیت المال ندارد بلکه مصاحبه می‌کند و از برج سازان دفاع می‌کند هم خیلی قابل تامل است.  🆔 @Sedaiemardom",,
181215,akhbarefori,2117072,1398/05/07 11:31:17,text,1,142621,"♦️محاکمه ۴ کارمند جهاد کشاورزی تهران/ دریافت حواله گوشت به اسم مستضعفان و فروش در بازار آزاد   نماینده دادستان در  نخستین جلسه محاکمه شش تن از متهمان پرونده واردات گوشتهای برزیلی با ارز ۴ هزار و ۲۰۰ تومانی: 🔹این پرونده هفت متهم دارد که سه نفر از متهمان از کارمندان سازمان جهاد کشاورزی استان تهران هستند. 🔹 متهمان گوشت های وارداتی با ارز ۴۲۰۰ تومانی که به نرخ دولتی توزیع می‌شد را با حواله های صوری و سندسازی و تخصیص غیرقانونی سهمیه به جای توزیع با نرخ دولتی در بازار ازاد به فروش رساندند. 🔹متهمان در سال ۹۷، ۱۱۴ هزار کیلو گوشت تنظیم بازار را خارج از چرخه توزیع به فروش رسانده و موجب تضییع حقوق بیت المال به مبلغ ۷۵ میلیارد ریال شد. @AkhbareFori",,
31829,isf031,345622,1397/04/17 20:16:47,text,1,133712,"⚠️مائده، اینستاگرام، رقص و اعترافات بغض آلود تلویزیونی ... چه خبر از دزدان بیت المال!؟ ‼️  ✔️ 'مائده' نوجوان 17 ساله ای است که در خانه اش می رقصید و ویدئوی رقص هایش را در صفحه اینستاگرامش منتشر می کرد. رقص های این دختر نوجوان اما چندان ادامه دار نشد؛ پلیس او را شناسایی و دستگیر کرد، صفحاش را بست و صدا و سیما هم بیکار ننشست و با دوربین سراغش رفت و فیلمی از اعترافاتش(!) گرفت و منتشر کرد. دخترک - که البته در تصویر تلویزیون صورتش معلوم نبود - با بغض و ترس می گفت که از جایی خط نگرفته و فقط می خواسته جلب توجه کند.  ✔️ مائده البته تنها فعال اینستاگرام نیست که پلیس سراغش رفته است. دستکم سه نام دیگر نیز در روزهای اخیر به عنوان 'شاخ های اینستا' مطرح شده که با رقص، دنبال کننده (فالوور) جذب می کردند و به همین اتهام بازداشت شده اند.  ✔️ این که پلیس یک دختر نوجوان -که نه دزدی کرده، نه مرتکب قتل شده، نه کلاهبرداری می کرده، نه مرتکب پولشویی یا اقدامات تروریستی شده و تنها جرمش رقصیدن بوده - را بگیرد و صدا و سیمای کشور نیز تصویر و صدای گریان او را روی آنتن رسانه ملی بفرستد تا درس عبرتی باشد برای مردم که نرقصند و اگر هم رقصیدند فیلمش را منتشر نکنند، حتماً سابقه خوبی برای تاریخ معاصر ایران نخواهد بود.  ✔️بله! رقص زن و انتشار فیلم رقص در جمهوری اسلامی ممنوع است و مائده و دیگران نیز باید به عنوان شهروندان این کشور، به قوانین و مقررات آن پایبند می بودند، حتی اگر آنها را قبول نداشتند. اما آیا تمام کسانی که قوانین و مقررات این کشور را نقض می کنند، به این سرعت و قاطعیت دستگیر می شوند و جلوی دوربین های تلویزیون، اشک شان را در می آورند؟  ✔️چگونه است که در ماجرای صندوق های مالی و اعتباری غیر مجاز، هزاران میلیارد تومان از پول مردم توسط چند نفر رسماً و علناً بالا کشیده می شود، خانواده های زیادی به خاک سیاه می نشینند، کار به اعتراضات خیابانی و بزن و بگیر و بنند می کشد ولی حتی یک نفر از مدیران این صندوق ها را کت بسته به تلویزیون نمی آورند و مانند آن دختر نوجوان، اشکش را در نمی آورند که با این همه پول چه کرده ای؟!  ✔️چگونه هیچ کس هنوز نمی داند کسانی که دکل های نفتی را دزدیدند، چه کسانی هستند و پشت شان به که گرم است؟  ✔️مردم چگونه شب در تلویزیون اشک های مائده که در گرماگرم نوجوانی و بی تجربگی، رقصیده و در صفحه اش منتشر کرده را ببینند و صبح در روزنامه بخوانند که هزاران خودروی لوکس توسط برخی دولتی ها به طور غیرقانونی ثبت سفارش و وارد کشور شده است و این دو خبر را با هم مقایسه نکنند و نگویند چگونه دختر نوجوان را سکه یک پول می کنید ولی حتی از معرفی اسامی این دزدهای چندهزار میلیارد تومانی خودداری می کنید؟!  ✔️چگونه عوامل قاچاق 15 الی 20 میلیارد دلاری در سال، زمین خوارانی که هزاران هکتار از اراضی ملی را تصاحب کرده اند، از ما بهترانی که مجوزهای خاص صادرات نفت گرفتند و معلوم نشد که پولش را چه کردند، دلالانی که با ارز دولتی اختصاص یافته برای دارو خودورهای لوکس وارد کردند، کسانی که با دستکاری در تعرفه قیر، موبایل و خودرو، یک شبه هزاران میلیارد تومان به جیب زدند، آنان که با تأسیس شرکت های چند روزه، قراردادهای میلیاردی با بخش های دولتی بستند و ... معرفی و رسوا نشدند ولی چند دختر و پسر نوجوان و جوان که در برابر آن تبهکاران، بچه هایی بیش نیستند و کاری نکرده اند سوژه برنامه تلویزیونی می شود که آی مردم! بشتابید که چه مجرمانی را گرفته ایم!  ✔️این همه مردم گفتند که غارتگران بیت المال را بگیرید و معرفی شان کنید، نتیجه اش این شد که چند دختر و پسر را به جرم رقص بگیرند و در تلویزیون به ملت نشان دهند؟ آیا شنیدن و درک صدای مردم، این قدر سخت است یا تجاهل می کنند؟!  ✔️اگر اسلام به خطر می افتد، اگر اخلاق جامعه فاسد می شود، اگر نظام تهدید می شود، اگر منافع ملی آسیب می بیند، اگر فقر در جامعه گسترش می یابد، اگر مردم امید و اعتمادشان را از دست می دهند، اگر دشمان خارجی ایران دندان طمع برای این آب و خاک تیز می کنند، ریشه این ها، رقص فلان دختر نوجوان در صفحه اینستاگرامش نیست علت اصلی اش این است که ما، امور مهم را واگذاشته ایم و به جای پرداختن به موضوعات اصلی کشور و حل بحران هایی که موجودیت مان را تهدید می کنند، دل خوش کرده ایم که چند نوجوان و جوان اینستاگرامی را دستگیر و در برابر مردم، خردشان کردیم، بی توجه به آن که همین رفتار نیز مجدداً حس تبعیض و بی عدالتی را در جامعه گسترش می دهد.  ✍️ عصر ایران؛ جعفر محمدی   @isf031 کانال اصفهانی ها 📣",,
160716,Khabar_Fouri,1444085,1398/05/27 13:52:13,photo,-1,154262,"اعلام جرم علیه پوری حسینی و افراد دخیل در واگذاری‌ها  دادستان عمومی و انقلاب مرکز استان چهارمحال و بختیاری: 🔹دادستانی از باب حفظ حقوق عامه، علیه این افراد به اتهام تضییع اموال بیت المال اعلام جرم کرده است. 🔹 سایر اقدامات قانونی جهت ابطال قرارداد واگذاری آغاز شده و در حال انجام است. /تسنیم #اقتصادی  ✅ @Khabar_Fouri",,
148549,akhbarefori,2117072,1397/09/21 20:18:22,text,-1,210113,"🔺معاون فرهنگی قوه‌قضاییه: تمام مبلغ اختلاس ۳ هزار میلیاردی برگشت داده شد/ پرونده رئیس سابق بانک مرکزی درحال بررسی است  حجت الاسلام والمسلمین صادقی: 🔹در همان پرونده معروف ۳ هزار میلیارد تومانی بسیاری از مسئولین دولتی حبس‌های طویل المدت گرفتند و تمامی اموال غارت شده به بیت المال بازگشت داده شد. 🔹اتهام متهمان اقتصادی خرید و فروش سکه نبود. اتهام این افراد اخلال در نظم اقتصادی بود، به طوری که مردم در این خصوص متضرر شدند. 🔹اکنون پرونده معاون بانک مرکزی در حال رسیدگی است و حتی به اتهامات وارده به رئیس کل بانک مرکزی سابق نیز رسیدگی می‌شود و این موضوع رها نشده است/ تسنیم #اقتصادی @AkhbareFori",,
78487,Perspolis,1945409,1397/06/17 21:44:53,text,1,148409,"❌ شاهکار مدیریتی دیگر در استقلالِ جمهوری اسلامی؛ جریمه ۷۰۰ هزار دلاری در پرونده پروپئیچ!  ❗️ساعاتی پیش خبری در یکی از سایت‌های خبری کشور درخصوص جریمه ۷۰۰ هزار دلاری تیم استقلال در پرونده پروپئیچ بازیکن سه سال پیش این تیم منتشر شد که برخلاف اینکه مبلغ هنگفتی باید پرداخت شود اما آنطور که باید رسانه‌ها به این موضوع نپرداخته‌اند  ❗️شاید عجیب باشد اما پروپئیچ برای ۱۳ بازی که برای استقلال به میدان رفت و به دلیل مشکلاتی که با این باشگاه داشت پس از شکایت به دادگاه عالی ورزش (CAS) درخواست ۷۰۰ هزار دلار کرده که با قیمت ۱۳ هزار و ۵۰۰ تومانی دلار، مبلغی در حدود ۹/۵ میلیارد تا ۱۰ میلیارد خواهد بود که رقم بسیار زیادی است  ❗️علاوه بر پروپئیچ؛ طی دو روز اخیر هم خبر محکومیت ۴۵۰ هزار یورویی تیم مورد حمایت وزارت ورزش و مجلس در پرونده گومز بازیکنی که تنها در تست پزشکی آبی‌ها شرکت کرد منتشر شد تا در کمتر از یک هفته، این تیم مجبور به پرداخت بیش از ۱۵ میلیارد تومان به ۲ بازیکن شود  ❗️'بیش از ۱۵ میلیارد تومان فقط برای دو بازیکن'؛ مبلغ‌های نجومی که بدون شک از پول بیت المال و توسط حامیان سیاسی استقلال پرداخت خواهد شد تا با وضعیت اسفناک اقتصادی کشور، بر نارضایتی مردم افزوده شود  🔴 @Perspolis",,
65389,iranfnews,2718628,1397/12/13 10:29:29,text,0,104628,"مجازات شلاق سعید مرتضوی مورد عفو رهبری قرار گرفت  محکومیت سعید مرتضوی مدیرعامل پیشین سازمان تامین اجتماعی به تحمل 135 ضربه شلاق تعزیری، با عفو اخیر رهبر معظم انقلاب، بخشیده شد.  مصطفی ترک همدانی وکیل مدافع تعدادی از کارگران تامین اجتماعی: سعید مرتضوی در پرونده تخلفات تامین اجتماعی به اتهام «تصرف اموال عمومی» به 70 ضربه شلاق و به اتهام «اهمال در انجام وظیفه و تضییع اموال بیت المال» به 65 ضربه شلاق محکوم و این حکم در دادگاه تجدیدنظر استان تهران تایید شده بود.   عفو اخیر رهبر معظم انقلاب اسلامی به مناسبت چهل سالگی انقلاب، دارای دو بند است که در بند ب آن تصریح شده تمام شلاق های تعزیری مشمول عفو می شوند.   بر این اساس، تنها محکومیتی که مرتضوی در پرونده تامین اجتماعی داشت، تحمل 135 ضربه شلاق بود که مشمول عفو شد و اکنون هیچ محکومیتی در ارتباط با پرونده تامین اجتماعی ندارد.   مرتضوی هم اکنون به خاطر محکومیت به دو سال حبس از بابت شکایت اولیای دم روح الامینی یکی از جانباختگان حادثه بازداشتگاه کهریزک در زندان به سر می برد. او همچنین به اتهام ورود غیرمجاز به منزل یکی از نمایندگان مجلس به 6 ماه حبس قطعی محکوم شده است  @iranfnews",,
39153,sedaiemardom,405602,1398/02/30 21:46:41,video,0,410594,"🔴 سخنان جالب «رحیم پورازغدی» درباره روحانیت: روحانیت نقش اجرایی نباید داشته باشد/ حکومت دینی تا قبل از ظهور نداریم/ آخوند حکومتی، آخوندی است که بر سر بیت‌المال نشسته است و این خلاف قطعی شریعت است/ آخوندی که بر سر سفره‌ی بیت المال است، «اکال السحت» است/ صنفی به نام روحانی نداریم، میزان علم است/ قرآن دو جا در قرآن علیه روحانیون فاسد ادیان توهین کرده؛ «سگ هار» و «الاغ»/ شهید مطهری گفت من از قم فرار کردم. وی گفت روحانیت شیعه، کشیش نیست  🆔 @Sedaiemardom",,
