id,peer_username,peer_participants_count,date,type,tag,views,text,,
24985,sedaiemardom,405602,1397/07/23 19:51:10,webpage,0,296612,​​🔴 شعبه ۱۶ دادگاه تجدیدنظر ⁧اهواز⁩، چهار فعال مدنی ⁧اهوازی⁩ ⁧را به تبعید محکوم كرد 🆔 @Sedaiemardom منابع محلی به سازمان حقوق بشر اهواز گزارش داده‌اند كه شعبه ۱۶ دادگاه تجدیدنظر اهواز (خوزستان) پس از رسیدگی به اعتراض فعالین مدنی اهوازی «عیسی دمنی»، «مجاهد زرگانی»، «ناجی حیدری» و «عامر سیلاوی» نسبت به احکام صادره از شعبه چهارم دادگاه انقلاب اهواز ضمن رد اعتراض این افراد و وکلای آنها، حکم صادره را تایید کردند.  بر اساس احکام صادره از این شعبه، «عیسی دمنی» و «عامر سیلاوی» هر کدام به یک‌سال حبس و دو سال تبعید و همچنین «مجاهد زرگانی» و «ناجی حیدری» هر کدام به یک‌سال حبس محکوم شده‌اند.   اين فعالان مسالمت‌جو به «تبلیغ علیه نظام» متهم شده‌اند.  سازمان حقوق بشر اهواز معتقد است كه تاييد اين احكام بدون دادرسى عادلانه و پشت درهاى بسته و بدون داشتن وكيل مدافع مستقل، در راستاى سركوب فعالان عرب اهوازى و تشديد فضاى امنيتى استان است.  قبلا شعبه چهارم دادگاه انقلاب اهواز به ریاست قاضی «پور محمدی»، عیسی دمنی، مجاهد زرگانی و حسین حیدری سه تن از این فعالان را به اتهام «تبلیغ علیه نظام» و «تشکیل موسسه‌های غیردولتی» به زندان و تبعید محکوم کرده است.  بر همین اساس عیسی دمنی، مجاهد زرگانی و حسین حیدری به یک‌سال زندان محکوم شده و قاضی «پور محمدی» علاوه بر حکم یک‌سال زندان، برای عیسی دمنی حكم تبعید به شهر تکاب را نیز صادر كرده است.  فعالیت‌های این سه تن که به خاطر آن به «تبلیغ علیه نظام» و «تشکیل موسسه‌های غیردولتی» محکوم شده‌اند، «آموزش زبان عربی در یک آموزشگاه زبان»، «تشکیل یک گروه مدنی برای اصلاح قوانین عشایری» و «کاهش آثار منفی باورهای سنتى و قبيله‌اى» و همچنین «تشکیل یک موسسه خیریه برای کمک به نیازمندان» بوده است.  این سه فعال عرب ماه مارس ۲۰۱۷ دستگیر و حدود یک ماه و نیم در بازداشتگاه‌های مخفی وزارت اطلاعات در اهواز نگهداری شده و پس از آن تا زمان برگزاری دادگاه آزاد شدند.  نهادهاى امنيتى و قضايى دائما از روش سرکوب برای مقابله با هرگونه فعالیت فعالان عرب استفاده می‌کنند. حتی اگر این فعالیت فرهنگی، اجتماعی و یا فعالیت انسانی خیرخواهانه بوده باشد.  سازمان حقوق بشر اهواز معتقد است که اقدامات سركوبگرانه نهادهاى امنیتی و قضایی در اهواز و سرکوب جنبش‌ها و فعالیت‌های مسالمت‌آمیز فعالات عرب در راستای سیاست خفه‌ کردن صدای مخالف و سرکوب جامعه مدنی است؛ سیاستی که فضای اجتماعی را از هرگونه فعالیت صلح‌آمیز خالی کرده و نسل جوان را به در پیش گرفتن روش‌های خشونت‌آمیز تشویق می‌کند. این سیاستی است که نهادهاى امنيتى در اهواز سال‌هاست در پیش گرفته‌اند تا بهانه‌هايى برای سرکوب و برخورد خشونت‌آمیز را علیه فعالان و جوانان به وجود آورند.  از سوى ديگر، منابع محلی به سازمان حقوق بشر اهواز گزارش داده‌اند كه دستگیری‌های کور اخیر در پى حمله‌ی مسلحانه به رژه‌ی نیروهای مسلح در اهواز در ۲۲ سپتامبر (۳۱ شهریور ۱۳۹۷)، همچنان ادامه دارد و شمار بازداشت شدگان که فعالان سیاسی و فرهنگی و حتی شهروندان عادی را شامل می‌شود، از ۵۰۰ نفر گذشته است.  این موج گسترده‌ی دستگیری‌ها در حالی صورت می‌گیرد که با وجود اينكه گروه تروريستى «داعش» مسئوليت اين حمله را به عهده گرفته هنوز ابهامات زیادی در رابطه با عاملان و پشت پرده‌ی این هجوم مسلحانه وجود دارد و برخی ناظران، نهادهای امنیتی به ویژه اطلاعات سپاه پاسداران را با هدف تغییر نگاه‌ها از بحران‌های داخلی و خارجی، متهم اصلی آن حادثه می دانند.  لازم به یادآوری است که اهواز هم‌راستا با دیگر نقاط کشور از ابتدای سال جدید شمسی شاهد اعتراضات و نارضایتی‌های گسترده‌ای در رابطه با موج گرانی‌ها، کمبود آب آشامیدنی، بیکاری، وضعیت جوی و مشکل ریزگردها، آلودگی ناشی از پروژه‌های اقتصادی، بحران انتقال آب و... بوده است که موج بازداشت‌های اخیر نمی‌تواند جدا از این شرایط بحرانی فهمیده شود.  رژیم جمهوری اسلامی از طریق دستگیری‌های فله‌ای تلاش دارد با بهره برداری از هجوم مسلحانه‌ی اخیر به میلیتاریزه کردن اهواز بپردازد و این چنین فضا را برای سرکوب موج اعتراضات گسترده، اعدام زندانیان سیاسی و کنترل و تحریف نارضایتی‌های فزاینده‌ی مردم عرب در برابر سیاست‌های تبعیض آمیز و نژادپرستانه آماده سازد.  سازمان حقوق بشر اهواز ضمن محکوم کردن صدور احکام بی‌رویه علیه همه فعالان عرب و به ویژه احکام زندان و تبعید صادره در حق عیسی دمنی، مجاهد زرگانی، حسین حیدری و عامر سيلاوى، خواستار لغو فوری این احکام، آزادی بدون قید و شرط آنها و رفع موانع ادامه فعالیت‌های مسالمت‌آمیز این فعالان است؛ فعالیت‌های انسان‌ دوستانه‌ای که طبقات فرودست ملت اهواز از آن سود می‌برند.  سازمان حقوق بشر اهواز ٢٣ مهر ١٣٩٧ ۱۵ اكتبر ۲۰۱۸,,
89140,Khabare_vije,2282723,1396/10/10 12:17:29,text,1,161809,♦️محسن هاشمی: اعتراضات کف خیابانی راه درست انتقاد نیست  🔹رئیس شورای شهر تهران:حق اعتراض قابل قبول است اما نحوه بیان انتقادات و مطالبات باید به شیوه قانونی و در چهارچوب رعایت قانون باشد. 🔹اعتراضات کف خیابانی هیجانی و غیرقانونی راه درست نیست، چرا که این انتقادات در اندک فریادهای تندروها محو می‌شود. 🔹پیگیری مطالبات به صورت مدنی و خارج از خشونت مناسب‌ترین روش است. 🔹باید قبول کرد که فشارهای اقتصادی و تبعیض طبقاتی وجود دارد که باید به آنها سر و سامان داد.  @Khabare_vijeh100,,
43600,sedaiemardom,405602,1398/04/26 16:36:29,photo,1,187751,🔴 کمپین «حمایت از مستأجرها» در بلوار رودکی ارومیه نیز راه‌اندازی شده است.   این کمپین با شعار «با هم مهربان باشیم» تلاش دارد با «فشار بر مالکانی که املاک خود با قیمت‌های خارج از عرف برای اجاره واگذاری می‌کنند»، برخورد فرهنگی کند.   هم‌چنین بنگاه‌داران نیکوکار مشارکت کننده در این کمپین، از دریافت هزینه‌ی تمدید قراردادهای رهن و اجاره یا دریافت دست‌کم نیمی از آن، به یاری مستأجرهای ستم‌دیده و مظلوم شتافته‌اند.  با مشارکت در این طرح، فرهنگ‌سازی را از خودمان آغاز کنیم. در صورت اصلاح فرهنگ و ناهنجاری‌های اجتماعی از درون جامعه، حکومت نیز توان تحمیل تبعیض را به مردم از دست خواهد داد.   🆔 @Sedaiemardom,,
24520,sedaiemardom,404297,1397/07/17 23:14:07,text,0,290762,🔴 جاده‌‌های مرگ (✍️: سهیل بلوچی) 🆔 @Sedaiemardom #اعتصاب_سراسری_کامیونداران، وارد هجدهمین روز خود شد و همچنان حاکمیت و دولت از ارائه یک راهکار مناسب و منطقی عاجز است. این عجز و ناتوانی از بن‌بست مدیریتی و سیاسی ناشی می‌گردد و همچنین از اراده مستبد زده حاکمیت که در مواجهه با جنبش‌ها و اعتصابات مردمی، سعی می‌کند از خود نرمش نشان ندهد زیرا با کوتاه آمدن در قبال خواست به حق اعتصاب کنندگان، در آینده در اکثر موارد مردم و اصناف مختلف جهت نیل به مطالبات خود، دست به اعتصاب جدیدی خواهند زد و این رویه تا مطالبه تغییر رژیم ادامه خواهد یافت. بنابراین دور از ذهن است که به راحتی رژیم به اهداف مشروع و مدنی اعتصاب کنندگان تن دهد. لیکن با ادامه اعتصاب و پیوستن سایر اصناف و اقشار مردم بدان ها، بخش‌های خدماتی، رفاهی و... فلج می‌شود و این موارد، زمینه نارضایتی بخش اعظم مردم را پدید می‌آورد و این‌گونه نظام یا با شورش همگانی مواجه خواهد شد و یا با بحران قحطی و کمبود ارزاق عمومی و کالاهای اساسی، جامعه را به هرج و مرج می‌کشد که هزینه مدیریت این بحران و بحران‌های آتی بسیار بالاتر از توان ج. ا خواهد بود.  نتیجتاً با ادامه اعتصاب می‌توان حکومت را به عقب راند و اولین بار بعد از انقلاب ۵۷ مشاهده نمود یکی از هزاران خواست و مطالبه مردم به ثمر بنشیند.  در حال حاضر تعدادی از کامیون‌های دولتی و اداری مسئول حمل بار شده‌اند و تعداد کمی از کامیونداران شخصی با تهدید و تطمیع عوامل امنیتی، اقدام به باربری و حمل محموله می‌کنند و با اینکه مسؤلان قول داده بودند قطعات یدکی و مهم کامیون‌ها از قبیل لاستیک را با نرخ تعاونی و ارزان تأمین کنند لیکن این عهد آنان مانند گذشته کذب بوده و فقط بین تعداد کمی از آنان لاستیک توزیع کرده‌اند و برای یک تریلر هجده چرخ فقط یک یا دو جفت لاستیک تهیه کرده‌اند!   عدم تأمین قطعات یدکی با نرخ تعاونی و کیفیت عالی، باعث شده کامیون‌هایی که در اعتصاب حضور ندارند با بی ملاحظه‌گی و با به خطر انداختن جان هموطنان‌مان، جاده‌های شوسه و راه‌های اصلی را به جاده‌های مرگ تبدیل نمایند زیرا نداشتن لنت ترمز استاندارد و با لاستیکی که عاج ندارد و یا فرسوده و از بین رفته چگونه می‌توان در مواقع ضروری چسبندگی لازم را جهت دوری از برخورد با موانع و خودروهای دیگر ایجاد کرد؟  در حالت عادی و روال سالیان گذشته، آمار تلفات جاده‌ای و ریلی و هوایی ما در دنیا، کم نظیر است و تازه در سنوات گذشته مشکل تحریم و بالا بودن قیمت لاستیک و سایر لوازم کامیون بسیار کمتر بود و در این وسعت دیده نمی‌شد.  نمونه بارز جاده‌های مرگ، مربوط می‌شود به موانع و معضلات خطه بلوچستان و سیستان که عمدتا جان فرسا هستند، بیکاری، نبود شغل مناسب و ایمن و نبود زیرساخت و کارخانه‌های مناسب و متعدد جهت جذب نیروی کار، با سیاست تبعیض مذهبی و بومی زدایی عجین شده و باعث شده مردان بلوچ اکثرا با مسافرکشی و یا فروش سوخت در نوار مرزی، امرار معاش کنند و طبق معمول عناصر امنیتی و انتظامی، بدون هشدار قبلی اقدام به شلیک مستقیم به خودروهای سواری و وانت نموده و جان راننده و مسافرین را به مخاطره می‌اندازند و چنانچه خودرو حامل سوخت باشد با کمال تأسف در آتش جهل و تعصب عده‌ای مغرض خواهد سوخت.   جا دارد وانت‌داران (کامیونت داران) که از صنف کامیون‌داران محسوب می‌گردند در اعتصاب با آنان شریک شوند و همبستگی خود را اعلام و اثبات دارند.  در بین آمار بسیار بالای تلفات انسانی و مادی در سیستم حمل و نقل عمومی، نقش موانع عمدی، دست رژیم و عواملش قابل رویت است بدین معنی که با عدم تامین هواپیمای مسافربری نو و ایمن و همچنین واگن و لوکوموتیو استاندارد و یا عدم تأمین اتوبوس‌های استاندارد که در هنگام تصادف آتش نمی‌گیرند و یا در موقع واژگون شدن تلفات بسیار کمی دارند و عدم تأمین خواسته‌های کامیونداران و شلیک مستقیم به خودروهای حامل سوخت، نظام، همواره سعی در کشتن و از بین بردن مردم دارد و در این راه، عزم خود را جزم کرده است. تعداد بالای تلفات انسانی و لطمات مالی، بیانگر این ادعاست و حکومتی که با مردم خود که ولی نعمتان اصلی هستند این‌گونه برخورد کند دیگر چه توقعی از آن باید داشت که در کشورهای منطقه دست به کشتار و ویرانی نزند؟  دستور همه این اعمال تروریستی و بی‌خردی‌ها از مغز معیوب دیکتاتور و زیر مجموعه‌هایش صادر می‌شود. پشتیبانی همه مردم از #اعتصابات_سراسری و داشتن روحیه مطالبه‌گری از جمله مواردی است که می‌تواند به این دور تسلسل و چرخه باطل خاتمه دهد و از خسارت بیشتر به منابع انسانی و مادی کشور جلوگیری کند.,,
125129,newsnavad,454067,1398/03/17 13:55:09,photo,0,132479,سعادتمند: بین ۲ باشگاه بزرگ پایتخت تبعیض وجود دارد/ماجدی و منزوی باید در نقل و انتقالات کنار فتحی باشند 👇👇👇👇 https://90tv.ir/c/MY860W  ⚽️Channel: @NewsNavad,,
104937,Perspolis,1972473,1398/03/19 17:59:28,webpage,1,231447,‍ در روزهایی که رقبایی که در سه فصل اخیر بیشترین بریز و بپاش‌ها را داشته‌اند و به گفته خودشان حتی درآمدهای فصول بعدشان را هم پیش خور کرده‌اند یقه عالم و آدم را می‌گیرند و با هوچی‌گری بیش از حق‌شان باج‌گیری می‌کنند، اینسو مدیران ما چنان در گرفتن حق عادی پرسپولیسی که در سه فصل اخیر با وجود موفقیت فنی، کمترین نقل و انتقالات و هزینه را داشته عاجز نشان داده‌اند که رفتارشان رفته رفته تنه به خیانت میزند  آنطرف مدیران رقیب روی صندلی‌هایشان لم داده‌اند و وقیحانه از تبعیضی می‌گویند که مدت‌هاست بسود خودشان در جریان است اما وارونه گویی می‌کنند و طلب نداشته را با گرفتن یقه وزرا بسرعت می‌گیرند و اینسو مشتی مدیر به جای گرفتن حق مسلم تیم مستندات خیالی راه می‌اندازند  بزرگترین تبعیضی که در این چند ساله بین پرسپولیس و استقلال وجود داشته بی‌شک در بخش مدیریتی بوده، جایی که مدیران بالیاقت پرسپولیس یکی پس از دیگری برکنار شدند تا امروز شاهد حضور امثال عرب باشیم. به راستی عضو اقتصادی باشگاه پرسپولیس کدام است که مانند خلیل‌زاده استقلال، به باشگاه کمک مالی کند؟  🔴 @Perspolis,,
14760,nsobhan,14404,1398/06/11 15:20:45,text,1,308883,تبعیض در کنکور؛ چه‌کسی پاسخگوست؟  🔻یک اتفاق نادر در کنکور امسال، باعث شده تا نتایج آزمون ورودی دانشگاه‌ها بحث برانگیز شود.  🔻امسال هم دانش‌آموزان نظام قدیم در کنکور شرکت کردند و هم ما دانش‌آموزان نظام جدید یا همان شش-سه-سه.  🔻دانش‌آموزان نظام قدیم با این ادعا که کنکور برای دانش‌آموزان نظام جدید ساده‌تر بوده با نفوذ و پشتیبانی لابی های قدرتمندشان امتیازی حیرت انگیز گرفتند: درصدهای اختصاصی‌شان چندین درصد افزایش یافت! و اینچنین بود که رتبه ۸کنکور شد ۱۷ و رتبه ۲۰۰نظام جدید شد۱۲۰۰❗️  🔻این تغییرات چنان بود که ما دانش‌آموزان نظام جدید ناگهان با رتبه‌های عجیب و غریبی روبرو شدیم. آنقدر که فکر کردیم یک صفر به اشتباه جلوی عدد رتبه‌مان قرار گرفته است.  🔻با این وجود هنوز نظام قدیمی‌ها به این سهمیه بسنده نکرده و به‌دنبال دریافت سهمیه اختصاصی برای نظام قدیم هستند؛ یعنی ده برابر کردن رتبه های نظام جدیدها کافی نبود، باید صد برابر شود❗️❗️❗️  🔻ما نظام جدیدها  فارغ التحصیلان سال نود و هشت گروه بد اقبالی بودیم که قربانیان اولین دوره نظام جدید شش-سه-سه به‌شمار می‌آییم. هر سال مهر ماه کتابهای تحصیلی‌مان چاپ شده هرگز امکان پیش‌خوانی دروس سال بعد و جلوتر افتادن نداشته ایم. ایرادات کتابهای‌مان سال بعد از ما اصلاح شده و پس از آزمایش تمام افت و خیز ها بر نسلمان، کتابهای تست کنکورمان همه و همه تا لحظه آخر روز کنکور درحال چاپ بود❗️  🔻ما اولین دوره ای بودیم که امتحان نهایی دیپلم‌مان یک ماه و نیم قبل کنکور برگزار شد درحالیکه سال‌های پیش از ما سوم دبیرستان دیپلم‌شان را با خیال راحت گرفته بودند و معدل‌هایمان هم به خاطر نگرانی‌مان برای کنکور قطعاً تحت الشعاع قرار گرفته است  🔻اگر سطح سؤالات متفاوت بوده، حتماً جای بسی سؤال و تعمق و تأمل و تفکر دارد؛ چون آسان‌تر بودن به ضرر بچه‌های درسخوان‌تر است ‌و اشتباه از طراحان سؤال بوده، نه ما.  🔻حالا در این تقاضانامه از مسئولان خواسته می‌‌شود که به جای اختصاص سهمیه اختصاصی به نظام قدیم‌ها که حق نظام جدیدها را به طور کامل زیرپا می‌گذارد، ظرفیت کلی دانشگاه‌ها را برای همه به‌طور یکسان افزایش دهند و عدالت آموزشی در کنکور را رعایت نمایند.  ⬆️ این تقاضا برای رسیدگی مسئولین به حقوق نظام جدیدها و ممانعت از ادامه‌ی تضییع حقوقشان می‌باشد. @nsobhan,,
20340,wonders,327191,1397/05/02 16:16:01,photo,1,123022,احتمال میلیونر بودن یک سفید‌پوست تحصیلکرده‌ی میانسال تو آمریکا 21درصده ولی همین احتمال برای یک سیاهپوست تحصیلکرده آمریکایی فقط 6درصده!  برده‌داری تموم شده ولی تبعیض نژادی هنوز بر دنیا حاکمه  @wonders,,
33410,sedaiemardom,405602,1397/12/20 19:42:03,webpage,1,199022,🔴 آقای لاریجانی، هیچ‌گاه شما را نخواهیم بخشید/ بازجوهای حفاظت اطلاعات قوه قضائیه می‌گفتند علیه احمدی‌نژاد حرف بزن تا تبرئه شوی! (✍️: محمد غلباش)  دولت بهار- آقای آملی لاریجانی امروز و در مراسم وداع با قوه قضائیه گفته اند: کسانی که به او و دخترش تهمت رباخواری و جاسوسی زده‌اند را حلال نخواهند کرد!    جناب آقای آملی، اینکه شما سود بانکی آن ۶۳ حساب معروف را برای مصارف شخصی برداشت کرده‌اید یا نه؛ اینکه دختر شما جاسوس بوده یا نبوده را نمی‌دانم، اما خوب می‌دانم که بنده و دیگر دوستانم که به دستور حضرتعالی ماه‌ها در سلول انفرادی بودیم و پس از آن در بیدادگاه‌های تحت امر شما به سالها زندان محکوم شدیم به اذعان تمامی بازجوها و قضات کاملا بیگناه بودیم و اتهامات تبلیغ علیه نظام و توهین به مقامات و نشر اکاذیب تهمتی بیش نبود و بخاطر این تهمت‌ها هیچ‌گاه شما را حلال نخواهیم کرد!   بنده به دستور شما و در سه دادگاه مختلف به ۷ سال زندان محکوم شدم، در یک سال و نیم گذشته زندگی مرا مختل کردید و مشکلات زیادی را برای من و خانواده‌ام بوجود آوردید، از توقیف ماشین و حساب‌های بانکی گرفته تا مسدودسازی کد ملی و...   روزی که در بند ۲۴۱ در حفاظت اطلاعات قوه قضائیه تحت بازجویی بودم مامورین شما مرا به اتاقی بردند که دوربین فیلم‌برداری در آنجا نصب شده بود؛ بازجو از من خواست که در مقابل دوربین بر علیه دکتر احمدی‌نژاد عزیز حرف بزنم تا تبرئه شوم و تهدید کرد که در غیر این صورت به چندین سال زندان محکوم خواهم شد! او می‌گفت این فیلم را برای مسئولین قوه می‌خواهد! علیرغم فشارهای چند ساعته بازجوها به آنها گفتم که شاید از سایر جریان‌های سیاسی بتوانید فیلم بگیرید ولی از جریان بهار هرگز... او که به شدت عصبانی شده بود و به گفته خودش باید با دست خالی به دیدار رئیسش می‌رفت، گفت انتقام سختی از تو خواهیم گرفت!   در مدت بازداشت افراد بیگناه زیادی را دیدم که در دستگاه تحت امر حضرتعالی چندین ماه و بعضا چندین سال بود در بازداشت موقت به سر می‌بردند و هر شب در نماز شب‌شان شما را دعا می‌کردند! حتی اگر از آنها حلالیت بطلبید بعید میدانم خود و خانواده‌های‌شان شما را حلال کنند!   شما بارها بدون ارائه ادله و اسناد به آقای دکتر احمدی‌نژاد تهمت انحراف زدید و اطرافیان رئیس‌جمهور سابق و محبوب را جریان انحرافی خواندید؛ پس از آن ضرب العجل ۴۸ ساعته‌ی ایشان برای ارائه اسناد و مدارک، در اقدامی عجولانه و غیر قانونی در ساعت پایانی ضرب‌الاجل به جای پاسخگویی، آقای بقایی را به ۶۳ سال زندان محکوم کردید.  آقای جوانفکر مشاور رسانه‌ای دکتر احمدی‌نژاد را در بیدادگاه‌های مختلف و با اتهامات بی‌پایه و اساس  بصورت غیرعلنی محاکمه کردید؛ سوابق انقلابی ایشان در سالهای قبل و بعد از انقلاب بر کسی پوشیده نیست!   آیا حضرتعالی از آقای عبدالرضا داوری که او را بخاطر کامنت دیگران در صفحه فیسبوکش بصورت کاملا ناجوانمردانه ۱۵ ماه به زندان افکندید و با رای دیوانعالی تبرئه شد حلالیت طلبیده‌اید؟!   حضرت آیت‌الله، شما که در برخورد با عدالتخواهانی همچون محمدحسین حیدری، هنگامه شهیدی، سعید علی بیگی، علی نورایی، سجاد یوسفی، پوریا حسین زاده، حسین شاملو و... بی‌درنگ و با تمام قوا وارد عمل می‌شدید انتظار می‌رفت که پس از آن یکشنبه طلایی با وجود اسناد محکمه پسندی که در مورد ویژه خواری اخوی‌تان توسط رئیس جمهور وقت ارائه شد با همان سرعت وارد عمل شوید؛ اما پس از گذشت ۶ سال از آن روز نه تنها به اتهامات ایشان رسیدگی نکردید بلکه با کینه‌ای وصف ناشدنی اقدام به برخورد با اطرافیان رئیس جمهور سابق کردید!   ملت ایران دادگاه فرمایشی اندیشمند بزرگ جناب آقای مهندس مشایی را از یاد نخواهند برد؛ بیدادگاهی که برخلاف ادعاها کاملا غیر قانونی و بصورت غیر علنی برگزار شد و تنها یک فیلم دو دقیقه‌ای سراسر تهمت از آن دادگاه منتشر شد، شما امروز رفتید اما این ظلم‌ها تا ابد بر پیشانی شما باقی خواهد ماند.  مولا علی(ع) فرموده‌اند: به گونه‌ای خدمت کنید که پس از پایان مسئولیت‌تان مردم عزادار شوند نه اینکه جشن بگیرند! آیا می‌دانید که اکثریت مردم امروز با پایان دوره مدیریت سراسر تبعیض و‌ بی‌عدالتی حضرتعالی چقدر خوشحال شده‌اند؟!   دیر و دور نیست روزی که به یاری خدا و امام عصر (عج) دادگاه صالحی برگزار شود و داد تمام مظلومان را از ظالمان بستاند.  🔹پ.ن: عبارات و القاب منتشر شده برای افراد در این یادداشت، لزوما بیان کننده دیدگاه «آمدنیوز» نیست.   👈 لینک مرتبط: https://t.me/sedaiemardom/33407 🆔 @Sedaiemardom,,
2389,sedaiemardom,404297,1396/10/21 18:19:12,text,0,671112,🔴 مرجع نبودن آیت‌الله خامنه‌ای اهمیتی ندارد! دارد؟ (✍️: حسین قاضیان، استاد جامعه‌شناسی) 🆔@Sedaiemardom آیت‌الله خامنه‌ای مرجع یا مجتهد باشد یا نباشد، مرجع یا مجتهد بوده یا نبوده باشد، اهمیتی ندارد. آن‌چه اهمیت دارد این است که ایشان نزدیک به سه دهه است که بر این کشور حکم می‌راند. اگر حضرت آیت‌الله به درستی و با درایت حکمرانی کرده بود، بعید بود کسی بخواهد در این قبیل قضایایِ فنیِ تاریخِ مصرف گذشته تشکیکی کند یا برای آن اهمیتی قائل شود، مگر از بعد حقوقی یا تاریخی.  آن چه برای زندگی امروز ما اهمیت دارد، جنبه‌های تاریخی یا حقوقی این گذشته‌ی تاریخی نیست. امروزه برای بسیاری از مردم، تقلید و مرجعیت اهمیتش را از دست داده یا منحصر شده است به برخی از امور شرعیِ فردی چون نماز و روزه و خمس و زکات یا وقایعی چون حج. به نظر نمی‌رسد برای بسیاری از این دست مردم اهمیتی داشته باشد که حکمران، مرجع باشد یا نباشد. چرا که اگر اسلام برای آنان به امور شخصی منحصر شده باشد، دیگر مهم نیست که فرمانروا از نظر شرعی چه پایه و مرتبه‌ای دارد.   آن ایده که اسلام می‌تواند و باید کشور را اداره کند سال‌هاست در میان اغلب مردم (حتی دین‌داران) رنگ باخته است. حنای «حکومت اسلامی» حتی در میان همین حاکمان کنونی نیز دیگر رنگی به باورهاشان نمی‌دهد، چنان که همان آیت‌الله هاشمی رفسنجانی هم که شتر این خلافت اسلامی را به بام برد دیگر ابایی از اعلام بی باوری به آن نداشت.   اکنون آن چه برای بسیاری از مردم اهمیت درجه اول دارد، این است که حکمرانان برای آنان امنیت و رفاه و آزادی تدارک ببینند. اکنون برای بسیاری از مردم روشن شده است که برای رسیدن به امنیت و رفاه و آزادی، کشور نیازی به فقیه و مجتهد نداشته و ندارد. کارشناس می‌خواست و هنوز هم می‌خواهد.  بسیاری اکنون می‌دانند که کره جنوبی و ترکیه که در آغاز انقلاب ۵۷ از ایران پس‌رفته تر بودند، بدون فقیه و مجتهد در این سه دهه پیش‌رفته تر شدند و از امنیت و رفاه و آزادی بیشتری برخوردار شدند.  اصلاً بیایید فرض کنیم که آیت‌الله خامنه‌ای از همان آغاز مرجع بود، اما به همین سیرت و صورت بر کشور حکم می‌راند که تاکنون رانده است. ایا در این حالت دیگر مشکلی در کار نبود؟ آیا آن امنیت و رفاه و آزادی که انقلاب وعده می‌داد و مردم در تمنایش شاه را از اریکه‌ی سلطنت پایین کشیدند، به دست آمده بود؟ آن چه کشور را به روزگار کنونی رسانده این نیست که آقای خامنه‌ای مرجع یا مجتهد نیست یا نبوده. مشکل در این است که همان سلطنت در شکل مذهبی‌اش بازتولید شده است بی آن که همان کارایی محتضر رژیم گذشته را هم حفط کند.   در واقع، فقر و فساد و تبعیض و انزوایی که در این کشورِ رو به بیابان شدن پدید آمده، حاصل اختیار فراوان و مسوولیت اندک (یا در حد هیچِ)‌ رهبر است، یعنی همان اختیارت و بی‌مسوولیتی‌های یک سلطانِ غیر مشروطه با عبایی بر دوش. و بر این اختیارات شاهانه اضافه کنید آن شیوه‌ای را که رهبر از اختیارات بی حدش استفاده یا سوء استفاده کرده است. چرا که اگر آیت‌الله خامنه‌ای رهبری با درایت بود و کشور را به شیوه‌ی درستی اداره می‌کرد باز هم این نوع قدرت بی حد و بدون مسوولیت می توانست تا حدی قابل قبول‌ باشد. در این صورت اگر کره جنوبی و ترکیه نمی‌شدیم، می‌شدیم چین مرفه و مستبد (که آقای خامنه‌ای جامعه‌شناسانش را برای مطالعه به آن جا گسیل کرده بود) نه آن که به سوی کره شمالی شدن از نوع اسلامیش حرکت کنیم.  حالا هم درست است که انتشار ویدئویی جلسات خبرگان آبروی بربادرفته‌ی روحانیان حاکم را به روی همه و از جمله به روی خود آنان می‌آورد. اما نه این بی‌آبرویی جدید است نه آن چه در پس پرده‌های حکومت می‌گذرد. آن‌چه جدید است این است که خود رهبر هم پیش‌بینی می‌کرده است که برای سه دهه حکمرانی بی‌درایت و ناپاسخگویش باید خون گریست!  #بایدخون_گریست,,
