id,peer_username,peer_participants_count,date,fwd_id,type,tag,views,text
﻿id,peer_username,peer_participants_count,date,fwd_id,type,1,views,text
26446,sedaiemardom,405602,1397/08/18 18:19:12,,photo,0,288732,🔴 سه‌شنبه ۲۲ آبان ۱۳۹۷ ساعت ۱۱صبح تحصن و تجمع سپرده‌گذاران غارت شده کاسپین در برابر ساختمان قوه قضائیه جهت پیگیری ماده ۲۳۶ و‌ مطالبه‌ی مجازات «ولی‌الله سیف» رییس سابق بانک مرکزی  🔹اصل، سود و خسارت قانونی، حق مسلم ماست  «صادق لاریجانی» با نقشه‌ی «حلقه‌ی نارمک»، اموال مالباختگان مؤسسات مالی، پدیده شاندیز و... را به استرالیا، انگلستان و آلمان منتقل کرده است   🆔 @Sedaiemardom
60310,iranfnews,2762489,1397/11/06 20:22:57,,photo,0,106421,🔺نماینده روسیه در سازمان ملل:  🔹ونزوئلا تهدیدی برای صلح و امنیت جهانی نیست. 🔹اگر موضوعی تهدید برای صلح و امنیت جهان باشد اقدمات شرم‌آور و تجاوزکارانه آمریکا و هم‌پیمانانش برای براندازی رئیس‌جمهور ونزوئلاست که به صورت قانونی انتخاب شده است.  🔹 آمریکا از کودتا در ونزوئلا حمایت می‌کند  @iranfnews
92042,kafiha,607182,1397/01/07 21:16:47,,text,1,128672,مولتی میلیاردر خواهم شد نه فورا ولی عمرا     ماتیلدای خسته   Elva @kafiha
47631,bbcpersian,980913,1398/06/18 20:11:22,,text,0,128553,🔹مشاور روحانی به وزیر خارجه آمریکا: شما سران طالبان را هم نتوانستید ببینید  🔻حسام الدین آشنا در توییتی فارسی خطاب به مایک پمپئو وزیر خارجه آمریکا گفته است 'شما سران طالبان را هم نتوانستید ببینید'.  🔻دونالد ترامپ، رئیس جمهوری آمریکا دیدار با رهبران طالبان و رئیس‌جمهوری افغانستان در کمپ دیوید در آمریکا را لغو کرده است. او مذاکرات صلح میان آمریکا و طالبان را هم متوقف کرده است. اشرف غنی، رئیس جمهوری افغانستان در بیانیه‌ای تاکید کرده، صلح واقعی در صورتی عملی است که طالبان خشونتها را متوقف کنند و با دولت وارد گفت و گو شوند.  🔻وزیر خارجه آمریکا اخیرا دوباره تکرار کرده که رئیس جمهور این کشور مایل به دیدار با حسن روحانی است. آیت الله علی خامنه ای گفته مذاکره با آمریکا را 'سم مضاعف' می داند و به مقام های دولتی اجازه دیدار با دونالد ترامپ را نمی دهد. @bbcpersian
158020,esteghlalpage,2078762,1398/04/28 16:54:56,,photo,1,160774,استقلال سومین باشگاه پردرآمد آسیا در فیفا   استقلال در جام جهانی 2018 بیشترین سهمیه را در تیم ملی در بین تمام باشگاه های ایرانی داشت و همین مساله منجر به درآمد 840 هزار دلاری این باشگاه در فیفا شد.  استقلال بعد از دو باشگاه الهلال و الاهلی عربستان به ترتیب با 2 میلیون و بیست و چهار هزار دلار و یک میلیون و هشتصد و هشت و نه هزار دلار بیشترین درآمد را در بین تمام باشگاه های آسیایی در فیفا داشته است اما آبی ها مجبور شدند 430 هزار دلار، یعنی بیش از نیمی از درآمدهای خود را صرف بستن پرونده پروپئیچ کنند.  🆔 @EsteghlalPage
127545,irperspolis,1986365,1398/05/15 09:12:59,,photo,1,167688,سعادتمند عضو سابق هیئت مدیره کیسه پست اینستاگرامی گذاشته چرا از برگزاری بازی سوپرجام وحشت دارید  ماهم دقیقا همین سوال رو داشتیم و کماکان داریم که چرا سرمربی سابقتون بازیکناش رو برداشت فرار کرد رفت ترکیه گفت بازی نمیکنیم؟! از چی ترسید؟! هنوز نه ما و نه دادگاه cas جوابش رو پیدا نکردیم:))  🆔 @irperspolis
4880,BESTPER,2103377,1396/11/02 18:23:40,,video,1,492381,تنها توی ایران این اتفاق می افته! جریمه بخاطر نداشتن زنجیر چرخ در هوای آفتابی!! در بودجه سال۹۷پلیس راهور ۳۰۰۰میلیارد ت باید بعنوان جریمه از مردم اخذ شود، چه با حق، چه ناحق  🅱️ @BESTPER ☜
630,,0,1397/04/03 16:42:36,,photo,1,239185,#پایان_دیکتاتور    ⭕️ فروپاشی اقتصاد ایران به دست مُلاها   ⭕️خمینی ملعون : اقتصاد مال خر است   ⚠️کانالی که مرگ جمهوری آخوندی را از پیش میداند  👇👇 https://t.me/joinchat/AAAAAEAekTvYPtvpVajKBw
92918,varzesh3,1139580,1398/08/01 01:04:30,,photo,1,299712,#آمار بایرن مونیخ در این فصل 38 گل در 13 بازی طی تمام مسابقات به ثمر رسانده است که 13 گل سهم لواندوفسکی بوده است همچنین ماشین گلزنی این تیم در هر 12 بازی آخر خود گلزنی کرده است و تنها در بازی ابتدایی فصل در سوپرکاپ آلمان برابر دورتموند گل به ثمر نرسانده است  @varzesh3
58497,iranfnews,2718628,1397/10/21 10:25:58,,photo,1,127552,📣 پلیس آمریکا خواستار نمونه‌برداری از DNA رونالدو شد  🔻پلیس ایالت نوادای آمریکا با ارسال نامه‌ای، رسما از مقامات ایتالیایی درخواست کرد در راستای تحقیقات درباره اتهام جنسی وارده به ستاره پرتغالی یوونتوس، یک نمونه از دی‌ان‌اِی او را برای آزمایش به این مرکز ارسال کنند.   🔻کریستیانو رونالدو متهم است در سال ۲۰۰۹ در جریان سفر به لاس‌وگاس در ایالت نوادا، زنی به نام «کاترین مایورگا» را مورد تعرض جنسی قرار داده و مبلغ ۳۷۵ هزار دلار به عنوان حق‌السکوت به او پرداخت کرده است.   @iranfnews
24933,jazbomoraghebe,67301,1397/01/21 19:31:13,,audio,0,159692,بهترین زمان انجام صبح زود یا شب قبل خواب🙏 #چله_قانون_جذب #روز_سی_نهم  #دکتربرازنده  @jazbomoraghebe 💫  https://instagram.com/_u/jazbomoraghebe
30457,bbcpersian,981254,1397/07/23 13:31:23,,text,0,243271,🔴عضو شورای شهر: محمدعلی افشانی، شهردا تهران شامل قانون منع به کارگیری بازنشستگان می‌شود  🔹الهام فخاری، عضو شورای شهر تهران در توییتر خود با اشاره به قانون منع به کارگیری بازنشستگان نوشت که محمد علی افشانی، شهردار تهران شامل این قانون می‌شود. @BBCPersian https://bbc.in/2CLjd4s
148965,akharinkhabar,3319415,1397/09/05 16:21:26,,photo,1,205443,🔺دادسرای عمومی و انقلاب تهران طی اطلاعیه‌ای انتساب خبر علنی بودن برگزاری دادگاه عراقچی به جعفری دولت‌آبادی دادستان تهران را که شنبه شب از برخی از شبکه‌های صدا و سیما اعلام شد، تکذیب کرد/ فارس  🔹نصب اپ آخرین خبر👇 http://akhr.ir/NChX
158906,Khabar_Fouri,1444085,1398/05/08 20:33:46,,photo,1,167741,طرح شکایت ستاره اسکندری در دادگاه ویژه روحانیت  💥برای مطالعه وارد شوید👉 ✅ @Khabar_Fouri
